relpath,exit,stderr_first_line,size_bytes,has_main
examples/ai_mvp/torch_append_next_token_i64.nr,0,"",1011,1
examples/ai_mvp/torch_categorical_sample_f64.nr,0,"",1240,1
examples/ai_mvp/torch_embedding_decoder_lm_head_generate_greedy_f64.nr,0,"",4912,1
examples/ai_mvp/torch_embedding_decoder_lm_head_greedy_step_f64.nr,0,"",7215,1
examples/ai_mvp/torch_embedding_lm_head_decode_step_f64.nr,0,"",2302,1
examples/ai_mvp/torch_embedding_lm_head_generate_f64.nr,0,"",2307,1
examples/ai_mvp/torch_embedding_lm_head_greedy_f64.nr,0,"",2185,1
examples/ai_mvp/torch_embedding_lm_head_sample_step_f64.nr,0,"",2687,1
examples/ai_mvp/torch_kv_cache_append_attention_f64.nr,0,"",1695,1
examples/ai_mvp/torch_last_hidden_lm_head_f64.nr,0,"",1907,1
examples/ai_mvp/torch_last_token_i64.nr,0,"",838,1
examples/ai_mvp/torch_multi_head_attention_f64.nr,0,"",1704,1
examples/ai_mvp/torch_rmsnorm_swiglu_feed_forward_block_f64.nr,0,"",3332,1
examples/ai_mvp/torch_rope_pairs_f64.nr,0,"",1284,1
examples/ai_mvp/torch_scaled_dot_product_attention_f64.nr,0,"",1393,1
examples/ai_mvp/torch_swiglu_feed_forward_f64.nr,0,"",2199,1
examples/ai_mvp/torch_temperature_softmax_topk_f64.nr,0,"",1151,1
examples/ai_mvp/torch_token_position_embedding_f64.nr,0,"",1678,1
examples/ai_mvp/torch_top_p_filter_f64.nr,0,"",1118,1
examples/ai_mvp/torch_transformer_decoder_layer_f64.nr,0,"",5383,1
examples/ai_mvp/torch_transformer_feed_forward_block_f64.nr,0,"",2679,1
examples/ai_mvp/torch_transformer_multi_head_block_f64.nr,0,"",3590,1
examples/ai_mvp/torch_transformer_self_attention_block_f64.nr,0,"",2477,1
examples/backend_mvp/nuc_backend_manifest_smoke.nr,0,"",448,1
examples/bench_mvp/nuc_bench_manifest_smoke.nr,0,"",464,1
examples/boost_mvp/catboost_categorical_tree_predict_f64.nr,0,"",6031,1
examples/boost_mvp/lightgbm_multiclass_tree_predict_f64.nr,0,"",3947,1
examples/boost_mvp/xgboost_sparse_tree_predict_f64.nr,0,"",4384,1
examples/boost_mvp/xgboost_stump_contrib_f64.nr,0,"",1894,1
examples/boost_mvp/xgboost_stump_ensemble_predict_f64.nr,0,"",1856,1
examples/boost_mvp/xgboost_tree_ensemble_missing_predict_f64.nr,0,"",3995,1
examples/boost_mvp/xgboost_tree_leaf_indices_f64.nr,0,"",4813,1
examples/boost_mvp/xgboost_tree_path_indicator_f64.nr,0,"",4798,1
examples/capsule_mvp/capsule_manifest_smoke.nr,0,"",862,1
examples/capsule_mvp/jsonl_evidence_smoke.nr,0,"",760,1
examples/capsule_mvp/ncap_package_manifest_smoke.nr,0,"",426,1
examples/cert_mvp/nuc_cert_profile_smoke.nr,0,"",510,1
examples/cli_mvp/nuc_cli_manifest_smoke.nr,0,"",399,1
examples/contract_mvp/nuc_shape_dtype_contract_smoke.nr,0,"",1698,1
examples/data_mvp/pandas_filter_project_i64_f64.nr,0,"",964,1
examples/data_mvp/pandas_groupby_i64_f64.nr,0,"",761,1
examples/data_mvp/pandas_inner_join_i64_f64.nr,0,"",901,1
examples/data_mvp/pandas_nullable_i64_f64.nr,0,"",1042,1
examples/experiment_mvp/nuc_experiment_manifest_smoke.nr,0,"",419,1
examples/gguf_mvp/nuc_gguf_manifest_smoke.nr,0,"",409,1
examples/health_mvp/nuc_ml_health_manifest_smoke.nr,0,"",432,1
examples/hf_mvp/nuc_hf_manifest_smoke.nr,0,"",642,1
examples/lab_mvp/nuc_lab_manifest_smoke.nr,0,"",461,1
examples/learn_mvp/nucleor_seeded_split_f64.nr,1,"ERROR: raw-ref syntax `&raw const` / `&raw mut` is not in the V1 language surface. ",1483,1
examples/learn_mvp/sklearn_argmax_accuracy_f64.nr,1,"ERROR: raw-ref syntax `&raw const` / `&raw mut` is not in the V1 language surface. ",1351,1
examples/learn_mvp/sklearn_bernoulli_nb_predict_f64.nr,1,"ERROR: raw-ref syntax `&raw const` / `&raw mut` is not in the V1 language surface. ",2142,1
examples/learn_mvp/sklearn_binarizer_threshold_f64.nr,1,"ERROR: raw-ref syntax `&raw const` / `&raw mut` is not in the V1 language surface. ",961,1
examples/learn_mvp/sklearn_column_transformer_onehot_f64.nr,1,"ERROR: raw-ref syntax `&raw const` / `&raw mut` is not in the V1 language surface. ",1555,1
examples/learn_mvp/sklearn_decision_tree_classifier_f64.nr,1,"ERROR: raw-ref syntax `&raw const` / `&raw mut` is not in the V1 language surface. ",2672,1
examples/learn_mvp/sklearn_gaussian_nb_predict_f64.nr,1,"ERROR: raw-ref syntax `&raw const` / `&raw mut` is not in the V1 language surface. ",1933,1
examples/learn_mvp/sklearn_group_kfold_indices_i64.nr,1,"ERROR: raw-ref syntax `&raw const` / `&raw mut` is not in the V1 language surface. ",901,1
examples/learn_mvp/sklearn_kfold_accuracy_score_i64.nr,1,"ERROR: raw-ref syntax `&raw const` / `&raw mut` is not in the V1 language surface. ",1160,1
examples/learn_mvp/sklearn_kfold_indices_i64.nr,1,"ERROR: raw-ref syntax `&raw const` / `&raw mut` is not in the V1 language surface. ",671,1
examples/learn_mvp/sklearn_kmeans_predict_f64.nr,1,"ERROR: raw-ref syntax `&raw const` / `&raw mut` is not in the V1 language surface. ",1226,1
examples/learn_mvp/sklearn_knn_1nn_predict_f64.nr,1,"ERROR: raw-ref syntax `&raw const` / `&raw mut` is not in the V1 language surface. ",1559,1
examples/learn_mvp/sklearn_knn_3nn_distance_weighted_f64.nr,1,"ERROR: raw-ref syntax `&raw const` / `&raw mut` is not in the V1 language surface. ",1668,1
examples/learn_mvp/sklearn_knn_3nn_predict_f64.nr,1,"ERROR: raw-ref syntax `&raw const` / `&raw mut` is not in the V1 language surface. ",1844,1
examples/learn_mvp/sklearn_knn_3nn_predict_proba_f64.nr,1,"ERROR: raw-ref syntax `&raw const` / `&raw mut` is not in the V1 language surface. ",1956,1
examples/learn_mvp/sklearn_label_encoder_i64.nr,1,"ERROR: raw-ref syntax `&raw const` / `&raw mut` is not in the V1 language surface. ",1169,1
examples/learn_mvp/sklearn_lasso_elasticnet_predict_f64.nr,1,"ERROR: raw-ref syntax `&raw const` / `&raw mut` is not in the V1 language surface. ",1529,1
examples/learn_mvp/sklearn_leave_one_out_indices_i64.nr,1,"ERROR: raw-ref syntax `&raw const` / `&raw mut` is not in the V1 language surface. ",700,1
examples/learn_mvp/sklearn_linear_svc_predict_f64.nr,1,"ERROR: raw-ref syntax `&raw const` / `&raw mut` is not in the V1 language surface. ",1640,1
examples/learn_mvp/sklearn_logistic_binary_predict_f64.nr,1,"ERROR: raw-ref syntax `&raw const` / `&raw mut` is not in the V1 language surface. ",1531,1
examples/learn_mvp/sklearn_logistic_multiclass_predict_f64.nr,1,"ERROR: raw-ref syntax `&raw const` / `&raw mut` is not in the V1 language surface. ",1862,1
