name,s1_args,tools_args,s1_body_lines,tools_body_lines,sig_match,body_identical,category
str_from_i64,1,1,38,19,1,0,SIG_MATCH_BODY_DIFFERS
str_from_int,1,1,3,3,1,1,IDENTICAL
str_to_int,1,1,29,10,1,0,SIG_MATCH_BODY_DIFFERS
str_is_digits,1,1,11,11,1,1,IDENTICAL
tok_new,3,3,3,3,1,0,SIG_MATCH_BODY_DIFFERS
tok_type,1,1,1,1,1,1,IDENTICAL
tok_val,1,1,1,1,1,1,IDENTICAL
is_digit,1,1,1,1,1,1,IDENTICAL
lex,1,1,790,210,1,0,SIG_MATCH_BODY_DIFFERS
tok_at,2,2,3,3,1,1,IDENTICAL
tok_type_at,2,2,1,1,1,1,IDENTICAL
tok_val_at,2,2,1,1,1,1,IDENTICAL
node_add,2,2,1,1,1,1,IDENTICAL
node_kind,2,2,1,1,1,1,IDENTICAL
node_field,3,3,1,1,1,1,IDENTICAL
mk2,3,3,1,1,1,0,SIG_MATCH_BODY_DIFFERS
mk3,4,4,1,1,1,0,SIG_MATCH_BODY_DIFFERS
mk4,5,5,1,1,1,0,SIG_MATCH_BODY_DIFFERS
mk5,6,6,1,1,1,0,SIG_MATCH_BODY_DIFFERS
mk6,7,7,1,1,1,0,SIG_MATCH_BODY_DIFFERS
mk_list,2,2,5,5,1,0,SIG_MATCH_BODY_DIFFERS
list_len,2,2,1,1,1,1,IDENTICAL
list_get,3,3,1,1,1,1,IDENTICAL
pr,2,2,1,1,1,0,SIG_MATCH_BODY_DIFFERS
pr_pos,1,1,1,1,1,1,IDENTICAL
pr_val,1,1,1,1,1,1,IDENTICAL
pk,2,2,1,1,1,1,IDENTICAL
pkv,2,2,1,1,1,1,IDENTICAL
expect_tok,3,3,19,10,1,0,SIG_MATCH_BODY_DIFFERS
parse_args,3,3,15,15,1,1,IDENTICAL
skip_bracket_list,2,2,10,10,1,1,IDENTICAL
skip_compile_time_param_default,2,2,31,31,1,1,IDENTICAL
ct_param_type_is_unsigned,1,1,8,8,1,1,IDENTICAL
ct_param_default_is_negative_literal,2,2,4,4,1,1,IDENTICAL
skip_angle_group,2,2,18,18,1,1,IDENTICAL
skip_where_clause,2,2,10,10,1,1,IDENTICAL
parse_match_binding_block,2,2,21,21,1,1,IDENTICAL
mk_passthrough_block_expr,2,2,3,3,1,1,IDENTICAL
parse_passthrough_block_expr,3,3,6,6,1,1,IDENTICAL
parse_wrapped_block_expr,4,4,6,6,1,1,IDENTICAL
parse_primary,3,3,661,138,1,0,SIG_MATCH_BODY_DIFFERS
parse_postfix,3,3,127,49,1,0,SIG_MATCH_BODY_DIFFERS
parse_unary,3,3,55,34,1,0,SIG_MATCH_BODY_DIFFERS
parse_mul,3,3,8,8,1,1,IDENTICAL
parse_add,3,3,8,8,1,1,IDENTICAL
parse_cmp,3,3,9,9,1,0,SIG_MATCH_BODY_DIFFERS
parse_eq,3,3,8,8,1,1,IDENTICAL
parse_and_expr,3,3,6,6,1,1,IDENTICAL
parse_or_expr,3,3,6,6,1,1,IDENTICAL
parse_pipe_expr,3,3,29,29,1,1,IDENTICAL
parse_expr,3,3,1,1,1,1,IDENTICAL
parse_type,2,2,235,83,1,0,SIG_MATCH_BODY_DIFFERS
parse_generic_params,2,2,80,34,1,0,SIG_MATCH_BODY_DIFFERS
parse_let,3,3,129,11,1,0,SIG_MATCH_BODY_DIFFERS
parse_const_decl,3,3,13,10,1,0,SIG_MATCH_BODY_DIFFERS
parse_type_alias_decl,3,3,8,8,1,1,IDENTICAL
parse_if,3,3,204,20,1,0,SIG_MATCH_BODY_DIFFERS
parse_while_stmt,3,3,118,7,1,0,SIG_MATCH_BODY_DIFFERS
parse_for_stmt,3,3,57,18,1,0,SIG_MATCH_BODY_DIFFERS
parse_return_stmt,3,3,7,7,1,1,IDENTICAL
parse_stmt,3,3,241,22,1,0,SIG_MATCH_BODY_DIFFERS
parse_stmts,3,3,7,7,1,1,IDENTICAL
parse_fn_decl,3,3,158,29,1,0,SIG_MATCH_BODY_DIFFERS
parse_extern_fn,3,3,47,21,1,0,SIG_MATCH_BODY_DIFFERS
parse_struct_decl,3,3,163,30,1,0,SIG_MATCH_BODY_DIFFERS
parse_struct_init,3,3,56,19,1,0,SIG_MATCH_BODY_DIFFERS
parse_enum_decl,3,3,91,48,1,0,SIG_MATCH_BODY_DIFFERS
parse_trait_decl,3,3,154,48,1,0,SIG_MATCH_BODY_DIFFERS
parse_impl_block,3,3,156,67,1,0,SIG_MATCH_BODY_DIFFERS
parse_match_stmt,4,3,137,181,0,0,SIG_DIFFERS
has_main_decl,2,2,9,9,1,1,IDENTICAL
remove_main_decl,2,2,13,13,1,1,IDENTICAL
parse_program,2,2,249,75,1,0,SIG_MATCH_BODY_DIFFERS
ir_inst,6,6,3,3,1,0,SIG_MATCH_BODY_DIFFERS
ir_call_ex,3,3,5,5,1,0,SIG_MATCH_BODY_DIFFERS
ir_fn_ptr,2,2,5,5,1,0,SIG_MATCH_BODY_DIFFERS
